Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3500105;Interior;Adamantina;544;14;;
3500204;Interior;Adolfo;136;5;;
3500303;Interior;Aguaí;413;9;;
3500402;Interior;Águas da Prata;78;5;;
3500501;Interior;Águas de Lindóia;245;7;;
3500550;Interior;Águas de Santa Bárbara;29;1;;
3500600;Interior;Águas de São Pedro;69;2;;
3500709;Interior;Agudos;909;17;;
3500758;Interior;Alambari;97;4;;
3500808;Interior;Alfredo Marcondes;84;3;;
3500907;Interior;Altair;52;3;;
3501004;Interior;Altinópolis;245;8;;
3501103;Interior;Alto Alegre;83;3;;
3501152;Interior;Alumínio;345;10;;
3501202;Interior;Álvares Florence;94;6;;
3501301;Interior;Álvares Machado;330;10;;
3501400;Interior;Álvaro de Carvalho;38;4;;
3501509;Interior;Alvinlândia;28;0;;
3501608;Interior;Americana;6461;187;;
3501707;Interior;Américo Brasiliense;940;15;;
3501806;Interior;Américo de Campos;354;12;;
3501905;Interior;Amparo;1405;36;;
3502002;Interior;Analândia;43;2;;
3502101;Interior;Andradina;1846;62;;
3502200;Interior;Angatuba;379;10;;
3502309;Interior;Anhembi;32;1;;
3502408;Interior;Anhumas;117;0;;
3502507;Interior;Aparecida;642;19;;
3502606;Interior;Aparecida d'Oeste;319;9;;
3502705;Interior;Apiaí;205;6;;
3502754;Interior;Araçariguama;477;10;;
3502804;Interior;Araçatuba;8661;196;;
3502903;Interior;Araçoiaba da Serra;773;15;;
3503000;Interior;Aramina;135;5;;
3503109;Interior;Arandu;58;3;;
3503158;Interior;Arapeí;11;1;;
3503208;Interior;Araraquara;6809;80;;
3503307;Interior;Araras;5598;88;;
3503356;Interior;Arco-Íris;15;0;;
3503406;Interior;Arealva;184;2;;
3503505;Interior;Areias;57;0;;
3503604;Interior;Areiópolis;160;4;;
3503703;Interior;Ariranha;192;8;;
3503802;Interior;Artur Nogueira;1321;33;;
3503901;RMSP (exceto capital);Arujá;2608;107;;
3503950;Interior;Aspásia;49;2;;
3504008;Interior;Assis;1927;31;;
3504107;Interior;Atibaia;2797;67;;
3504206;Interior;Auriflama;598;14;;
3504305;Interior;Avaí;131;3;;
3504404;Interior;Avanhandava;256;8;;
3504503;Interior;Avaré;1082;20;;
3504602;Interior;Bady Bassitt;1069;22;;
3504701;Interior;Balbinos;243;3;;
3504800;Interior;Bálsamo;586;26;;
3504909;Interior;Bananal;161;1;;
3505005;Interior;Barão de Antonina;25;1;;
3505104;Interior;Barbosa;140;1;;
3505203;Interior;Bariri;1261;29;;
3505302;Interior;Barra Bonita;1130;25;;
3505351;Interior;Barra do Chapéu;52;0;;
3505401;Interior;Barra do Turvo;192;5;;
3505500;Interior;Barretos;5655;152;;
3505609;Interior;Barrinha;817;33;;
3505708;RMSP (exceto capital);Barueri;10008;423;;
